MetaMessage type: track_name, time: 0, actual_time: 0
type: program_change, time: 0, actual_time: 0
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=46296
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=46320
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=46416
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=46440
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=46536
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=46560
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=46656
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=46680
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=46776
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=46800
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=46896
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=46920
